"用户ID","特征","租房行为","签约状态","对比","时间"
"1001","65㎡一居 | 单身白领 | 月付","看房:3次\n已签约:1套\n月租金:3500元","合同剩余:11个月\n押金:7000元\n水电已结清","看房活跃度优于70%同城用户","2025-01"
"1002","70㎡两居 | 情侣合租 | 季付","看房:5次\n已签约:0套\n收藏房源:8套","待签约\n预算:5000元/月\n偏好:近地铁","看房次数高于平均40%","2025-01"
"1003","90㎡两居 | 养宠家庭 | 半年付","看房:2次\n已签约:1套\n月租金:6000元","合同剩余:5个月\n宠物押金:2000元\n物业费已缴","养宠房源匹配度前15%","2025-01"
"1004","85㎡三居 | 学生合租 | 月付","看房:6次\n已签约:1套\n人均月租:1500元","合同剩余:11个月\n4人合租\n网费均摊","合租匹配效率前20%","2025-01"
"1005","120㎡三居 | 退休老人 | 年付","看房:1次\n已签约:1套\n年租金:72000元","合同剩余:11个月\n无押金纠纷\n设施报修:0次","签约效率优于85%同龄用户","2025-01"
"1006","150㎡四居 | 家庭整租 | 季付","看房:4次\n已签约:0套\n需求:学区房","待签约\n预算:12000元/月\n要求:近学校","学区房搜索热度前10%","2025-01"
"1007","55㎡一居 | 独居女性 | 月付","看房:3次\n已签约:1套\n月租金:2800元","合同剩余:11个月\n安全设施:齐全\n满意度:高","小户型匹配度优于75%用户","2025-01"
"1008","100㎡三居 | 三口之家 | 半年付","看房:2次\n已签约:1套\n月租金:7500元","合同剩余:5个月\n物业报修:1次\n邻里关系:良好","家庭用户满意度高于平均20%","2025-01"
"1009","80㎡两居 | 实习生 | 月付","看房:7次\n已签约:1套\n月租金:2200元","合同剩余:2个月\n短租协议\n押金:2200元","短租匹配速度前10%","2025-01"
"1010","130㎡四居 | 三代同堂 | 年付","看房:1次\n已签约:1套\n年租金:96000元","合同剩余:11个月\n设施齐全\n暂无报修","大户型签约效率前5%","2025-01"
"1001","65㎡一居 | 单身白领 | 月付","续租确认:是\n月租金:3500元\n设施报修:1次","合同剩余:10个月\n维修响应:24h内\n满意度:良好","续租率优于75%同城用户","2025-02"
